dates,Belgium.JHU_ConfirmedCases.data,Belgium.JHU_ConfirmedDeaths.data,Belgium.JHU_ConfirmedRecoveries.data
2020-07-12,62707.0,9782.0,
2020-07-13,62707.0,9782.0,
2020-07-14,62781.0,9787.0,
2020-07-15,62872.0,9788.0,
2020-07-16,63238.0,9795.0,
2020-07-17,63499.0,9800.0,
2020-07-18,63706.0,9800.0,
2020-07-19,63706.0,9800.0,
2020-07-20,64094.0,9805.0,
2020-07-21,64258.0,9805.0,
2020-07-22,64627.0,9808.0,
2020-07-23,64847.0,9812.0,
2020-07-24,65199.0,9817.0,
2020-07-25,65727.0,9821.0,
2020-07-26,66026.0,9821.0,
2020-07-27,66428.0,9822.0,
2020-07-28,66662.0,9833.0,
2020-07-29,67335.0,9836.0,
2020-07-30,68006.0,9840.0,
2020-07-31,68751.0,9841.0,
2020-08-01,69402.0,9845.0,
2020-08-02,69849.0,9845.0,
2020-08-03,70314.0,9850.0,
2020-08-04,70648.0,9852.0,
2020-08-05,71158.0,9859.0,
2020-08-06,72016.0,9861.0,
2020-08-07,72784.0,9866.0,
2020-08-08,73401.0,9870.0,
2020-08-09,74152.0,9872.0,
2020-08-10,74620.0,9879.0,
2020-08-11,75008.0,9885.0,
2020-08-12,75647.0,9900.0,
2020-08-13,76191.0,9916.0,
2020-08-14,77113.0,9924.0,
2020-08-15,77869.0,9935.0,
2020-08-16,78323.0,9939.0,
2020-08-17,78534.0,9944.0,
2020-08-18,78897.0,9959.0,
2020-08-19,79479.0,9969.0,
2020-08-20,80178.0,9976.0,
2020-08-21,80894.0,9985.0,
2020-08-22,81468.0,9988.0,
2020-08-23,81936.0,9992.0,
2020-08-24,82092.0,9996.0,
2020-08-25,82447.0,9996.0,
2020-08-26,83030.0,9879.0,
2020-08-27,83500.0,9884.0,
2020-08-28,83952.0,9886.0,
2020-08-29,84599.0,9891.0,
2020-08-30,85042.0,9894.0,
2020-08-31,85236.0,9895.0,
2020-09-01,85487.0,9897.0,
2020-09-02,85911.0,9898.0,
2020-09-03,86544.0,9899.0,
2020-09-04,87174.0,9901.0,
2020-09-05,87825.0,9906.0,
2020-09-06,88367.0,9907.0,
2020-09-07,88769.0,9909.0,
2020-09-08,89141.0,9912.0,
2020-09-09,89691.0,9917.0,
2020-09-10,90568.0,9917.0,
2020-09-11,91537.0,9919.0,
2020-09-12,92478.0,9923.0,
2020-09-13,93455.0,9925.0,
2020-09-14,94306.0,9927.0,
2020-09-15,94795.0,9930.0,
2020-09-16,95948.0,9935.0,
2020-09-17,97976.0,9936.0,
2020-09-18,99649.0,9937.0,
2020-09-19,100748.0,9944.0,
2020-09-20,102295.0,9948.0,
2020-09-21,103392.0,9950.0,
2020-09-22,105226.0,9955.0,
2020-09-23,106887.0,9959.0,
2020-09-24,108768.0,9965.0,
2020-09-25,110976.0,9969.0,
2020-09-26,112803.0,9974.0,
2020-09-27,114179.0,9980.0,
2020-09-28,115353.0,9987.0,
2020-09-29,117115.0,10001.0,
2020-09-30,118452.0,10016.0,
2020-10-01,121059.0,10023.0,
2020-10-02,124234.0,10037.0,
2020-10-03,127623.0,10044.0,
2020-10-04,130235.0,10064.0,
2020-10-05,132203.0,10078.0,
2020-10-06,134291.0,10092.0,
2020-10-07,137868.0,10108.0,
2020-10-08,143596.0,10126.0,
2020-10-09,148981.0,10151.0,
2020-10-10,156931.0,10175.0,
2020-10-11,162258.0,10191.0,
2020-10-12,165880.0,10211.0,
2020-10-13,173240.0,10244.0,
2020-10-14,181511.0,10278.0,
