dates,India.JHU_ConfirmedCases.data,India.JHU_ConfirmedDeaths.data,India.JHU_ConfirmedRecoveries.data
2020-07-05,697413.0,19693.0,
2020-07-06,719664.0,20159.0,
2020-07-07,742417.0,20642.0,
2020-07-08,767296.0,21129.0,
2020-07-09,793802.0,21604.0,
2020-07-10,820916.0,22123.0,
2020-07-11,849522.0,22673.0,
2020-07-12,878254.0,23174.0,
2020-07-13,906752.0,23727.0,
2020-07-14,936181.0,24309.0,
2020-07-15,968857.0,24914.0,
2020-07-16,1003832.0,25602.0,
2020-07-17,1039084.0,26273.0,
2020-07-18,1077781.0,26816.0,
2020-07-19,1118206.0,27497.0,
2020-07-20,1155338.0,28082.0,
2020-07-21,1193078.0,28732.0,
2020-07-22,1238798.0,29861.0,
2020-07-23,1288108.0,30601.0,
2020-07-24,1337024.0,31358.0,
2020-07-25,1385635.0,32060.0,
2020-07-26,1435616.0,32771.0,
2020-07-27,1480073.0,33408.0,
2020-07-28,1483156.0,33425.0,
2020-07-29,1581963.0,34955.0,
2020-07-30,1634746.0,35718.0,
2020-07-31,1695988.0,36511.0,
2020-08-01,1750723.0,37364.0,
2020-08-02,1803695.0,38135.0,
2020-08-03,1855745.0,38938.0,
2020-08-04,1908254.0,39795.0,
2020-08-05,1964536.0,40699.0,
2020-08-06,2027074.0,41585.0,
2020-08-07,2088611.0,42518.0,
2020-08-08,2153010.0,43379.0,
2020-08-09,2215074.0,44386.0,
2020-08-10,2268675.0,45257.0,
2020-08-11,2329638.0,46091.0,
2020-08-12,2396637.0,47033.0,
2020-08-13,2461190.0,48040.0,
2020-08-14,2525922.0,49036.0,
2020-08-15,2589952.0,49980.0,
2020-08-16,2647663.0,50921.0,
2020-08-17,2702681.0,51797.0,
2020-08-18,2767253.0,52888.0,
2020-08-19,2836925.0,53866.0,
2020-08-20,2905825.0,54849.0,
2020-08-21,2975701.0,55794.0,
2020-08-22,3044940.0,56706.0,
2020-08-23,3106348.0,57542.0,
2020-08-24,3167323.0,58390.0,
2020-08-25,3224547.0,59357.0,
2020-08-26,3310234.0,60472.0,
2020-08-27,3387500.0,61529.0,
2020-08-28,3463972.0,62550.0,
2020-08-29,3542733.0,63498.0,
2020-08-30,3621245.0,64469.0,
2020-08-31,3691166.0,65288.0,
2020-09-01,3769523.0,66333.0,
2020-09-02,3853406.0,67376.0,
2020-09-03,3936747.0,68472.0,
2020-09-04,4023179.0,69561.0,
2020-09-05,4113811.0,70626.0,
2020-09-06,4204613.0,71642.0,
2020-09-07,4280422.0,72775.0,
2020-09-08,4370128.0,73890.0,
2020-09-09,4465863.0,75062.0,
2020-09-10,4562414.0,76271.0,
2020-09-11,4659984.0,77472.0,
2020-09-12,4754356.0,78586.0,
2020-09-13,4754356.0,78586.0,
2020-09-14,4846427.0,79722.0,
2020-09-15,5020359.0,82066.0,
2020-09-16,5020359.0,82066.0,
2020-09-17,5118253.0,83198.0,
2020-09-18,5214677.0,84372.0,
2020-09-19,5308014.0,85619.0,
2020-09-20,5400619.0,86752.0,
2020-09-21,5487580.0,87882.0,
2020-09-22,5562663.0,88935.0,
2020-09-23,5646010.0,90020.0,
2020-09-24,5732518.0,91149.0,
2020-09-25,5818570.0,92290.0,
2020-09-26,5903932.0,93379.0,
2020-09-27,5992532.0,94503.0,
2020-09-28,6145291.0,96318.0,
2020-09-29,6145291.0,96318.0,
2020-09-30,6312584.0,98678.0,
2020-10-01,6312584.0,98678.0,
2020-10-02,6394068.0,99773.0,
2020-10-03,6473544.0,100842.0,
2020-10-04,6549373.0,101782.0,
2020-10-05,6623815.0,102685.0,
2020-10-06,6685082.0,103569.0,
2020-10-07,6757131.0,104555.0,
2020-10-08,6835655.0,105526.0,
2020-10-09,6979423.0,107416.0,
2020-10-10,6979423.0,107416.0,
2020-10-11,7053806.0,108334.0,
2020-10-12,7175880.0,109856.0,
2020-10-13,7175880.0,109856.0,
2020-10-14,7239389.0,110586.0,
