dates,Spain.JHU_ConfirmedCases.data,Spain.JHU_ConfirmedDeaths.data,Spain.JHU_ConfirmedRecoveries.data
2020-05-20,232555.0,27888.0,
2020-05-21,233037.0,27940.0,
2020-05-22,234824.0,28628.0,
2020-05-23,235290.0,28678.0,
2020-05-24,235772.0,28752.0,
2020-05-25,235400.0,26834.0,
2020-05-26,236259.0,27117.0,
2020-05-27,236259.0,27117.0,
2020-05-28,237906.0,27119.0,
2020-05-29,238564.0,27121.0,
2020-05-30,239228.0,27125.0,
2020-05-31,239479.0,27127.0,
2020-06-01,239638.0,27127.0,
2020-06-02,239932.0,27127.0,
2020-06-03,240326.0,27128.0,
2020-06-04,240660.0,27133.0,
2020-06-05,240978.0,27134.0,
2020-06-06,241310.0,27135.0,
2020-06-07,241550.0,27136.0,
2020-06-08,241717.0,27136.0,
2020-06-09,241966.0,27136.0,
2020-06-10,242280.0,27136.0,
2020-06-11,242707.0,27136.0,
2020-06-12,243209.0,27136.0,
2020-06-13,243605.0,27136.0,
2020-06-14,243928.0,27136.0,
2020-06-15,244109.0,27136.0,
2020-06-16,244328.0,27136.0,
2020-06-17,244683.0,27136.0,
2020-06-18,245268.0,27136.0,
2020-06-19,245575.0,28315.0,
2020-06-20,245938.0,28322.0,
2020-06-21,246272.0,28323.0,
2020-06-22,246504.0,28324.0,
2020-06-23,246752.0,28325.0,
2020-06-24,247086.0,28327.0,
2020-06-25,247486.0,28330.0,
2020-06-26,247905.0,28338.0,
2020-06-27,248469.0,28341.0,
2020-06-28,248770.0,28343.0,
2020-06-29,267052.0,31370.0,
2020-06-30,267391.0,31380.0,
2020-07-01,267728.0,31388.0,
2020-07-02,250103.0,28368.0,
2020-07-03,250545.0,28385.0,
2020-07-04,250545.0,28385.0,
2020-07-05,250545.0,28385.0,
2020-07-06,251789.0,28388.0,
2020-07-07,252130.0,28392.0,
2020-07-08,252513.0,28396.0,
2020-07-09,253056.0,28401.0,
2020-07-10,253908.0,28403.0,
2020-07-11,253908.0,28403.0,
2020-07-12,253908.0,28403.0,
2020-07-13,255953.0,28406.0,
2020-07-14,256619.0,28409.0,
2020-07-15,257494.0,28413.0,
2020-07-16,258855.0,28416.0,
2020-07-17,260255.0,28420.0,
2020-07-18,260255.0,28420.0,
2020-07-19,260255.0,28420.0,
2020-07-20,264836.0,28422.0,
2020-07-21,266194.0,28424.0,
2020-07-22,267551.0,28426.0,
2020-07-23,270166.0,28429.0,
2020-07-24,272421.0,28432.0,
2020-07-25,272421.0,28432.0,
2020-07-26,272421.0,28432.0,
2020-07-27,272421.0,28432.0,
2020-07-28,280610.0,28436.0,
2020-07-29,282641.0,28441.0,
2020-07-30,285430.0,28443.0,
2020-07-31,288522.0,28445.0,
2020-08-01,288522.0,28445.0,
2020-08-02,288522.0,28445.0,
2020-08-03,297054.0,28472.0,
2020-08-04,302814.0,28498.0,
2020-08-05,305767.0,28499.0,
2020-08-06,309855.0,28500.0,
2020-08-07,314362.0,28503.0,
2020-08-08,314362.0,28503.0,
2020-08-09,314362.0,28503.0,
2020-08-10,322980.0,28576.0,
2020-08-11,326612.0,28581.0,
2020-08-12,329784.0,28579.0,
2020-08-13,337334.0,28605.0,
2020-08-14,342813.0,28617.0,
2020-08-15,342813.0,28617.0,
2020-08-16,342813.0,28617.0,
2020-08-17,359082.0,28646.0,
2020-08-18,364196.0,28670.0,
2020-08-19,370867.0,28797.0,
2020-08-20,377906.0,28813.0,
2020-08-21,386054.0,28838.0,
2020-08-22,386054.0,28838.0,
2020-08-23,386054.0,28838.0,
2020-08-24,405436.0,28872.0,
2020-08-25,412553.0,28924.0,
2020-08-26,419849.0,28971.0,
2020-08-27,429507.0,28996.0,
2020-08-28,439286.0,29011.0,
2020-08-29,439286.0,29011.0,
2020-08-30,439286.0,29011.0,
2020-08-31,462858.0,29094.0,
2020-09-01,470973.0,29152.0,
2020-09-02,479554.0,29194.0,
2020-09-03,488513.0,29234.0,
2020-09-04,498989.0,29418.0,
2020-09-05,498989.0,29418.0,
2020-09-06,498989.0,29418.0,
2020-09-07,525549.0,29516.0,
2020-09-08,534513.0,29594.0,
2020-09-09,543379.0,29628.0,
2020-09-10,554143.0,29699.0,
2020-09-11,566326.0,29747.0,
2020-09-12,566326.0,29747.0,
2020-09-13,566326.0,29747.0,
2020-09-14,593730.0,29848.0,
2020-09-15,603167.0,30004.0,
2020-09-16,614360.0,30243.0,
2020-09-17,625651.0,30405.0,
2020-09-18,640040.0,30495.0,
2020-09-19,640040.0,30495.0,
2020-09-20,640040.0,30495.0,
2020-09-21,671468.0,30663.0,
2020-09-22,682267.0,30904.0,
2020-09-23,693556.0,31034.0,
2020-09-24,704209.0,31118.0,
2020-09-25,716481.0,31232.0,
2020-09-26,716481.0,31232.0,
2020-09-27,716481.0,31232.0,
2020-09-28,748266.0,31411.0,
2020-09-29,748266.0,31411.0,
2020-09-30,769188.0,31791.0,
2020-10-01,778607.0,31973.0,
2020-10-02,789932.0,32086.0,
2020-10-03,789932.0,32086.0,
2020-10-04,789932.0,32086.0,
2020-10-05,813412.0,32225.0,
2020-10-06,825410.0,32486.0,
2020-10-07,835901.0,32562.0,
2020-10-08,848324.0,32688.0,
2020-10-09,861112.0,32929.0,
2020-10-10,861112.0,32929.0,
2020-10-11,861112.0,32929.0,
2020-10-12,888968.0,33124.0,
2020-10-13,896086.0,33204.0,
2020-10-14,908056.0,33413.0,
