dates,Finland.JHU_ConfirmedCases.data,Finland.JHU_ConfirmedDeaths.data,Finland.JHU_ConfirmedRecoveries.data
2020-07-18,7318.0,328.0,
2020-07-19,7335.0,328.0,
2020-07-20,7340.0,328.0,
2020-07-21,7351.0,328.0,
2020-07-22,7362.0,328.0,
2020-07-23,7372.0,328.0,
2020-07-24,7380.0,329.0,
2020-07-25,7388.0,329.0,
2020-07-26,7393.0,329.0,
2020-07-27,7398.0,329.0,
2020-07-28,7404.0,329.0,
2020-07-29,7414.0,329.0,
2020-07-30,7423.0,329.0,
2020-07-31,7432.0,329.0,
2020-08-01,7443.0,329.0,
2020-08-02,7453.0,329.0,
2020-08-03,7466.0,329.0,
2020-08-04,7483.0,331.0,
2020-08-05,7512.0,331.0,
2020-08-06,7532.0,331.0,
2020-08-07,7554.0,331.0,
2020-08-08,7568.0,331.0,
2020-08-09,7584.0,331.0,
2020-08-10,7601.0,333.0,
2020-08-11,7623.0,333.0,
2020-08-12,7642.0,333.0,
2020-08-13,7683.0,333.0,
2020-08-14,7700.0,333.0,
2020-08-15,7720.0,333.0,
2020-08-16,7731.0,333.0,
2020-08-17,7752.0,334.0,
2020-08-18,7776.0,334.0,
2020-08-19,7805.0,334.0,
2020-08-20,7842.0,334.0,
2020-08-21,7871.0,334.0,
2020-08-22,7906.0,334.0,
2020-08-23,7920.0,334.0,
2020-08-24,7938.0,335.0,
2020-08-25,7981.0,335.0,
2020-08-26,8002.0,335.0,
2020-08-27,8019.0,335.0,
2020-08-28,8042.0,335.0,
2020-08-29,8049.0,335.0,
2020-08-30,8077.0,335.0,
2020-08-31,8086.0,336.0,
2020-09-01,8142.0,336.0,
2020-09-02,8161.0,336.0,
2020-09-03,8200.0,336.0,
2020-09-04,8225.0,336.0,
2020-09-05,8261.0,336.0,
2020-09-06,8291.0,336.0,
2020-09-07,8327.0,336.0,
2020-09-08,8337.0,336.0,
2020-09-09,8430.0,337.0,
2020-09-10,8469.0,337.0,
2020-09-11,8512.0,337.0,
2020-09-12,8557.0,337.0,
2020-09-13,8580.0,337.0,
2020-09-14,8627.0,337.0,
2020-09-15,8725.0,339.0,
2020-09-16,8750.0,339.0,
2020-09-17,8799.0,339.0,
2020-09-18,8858.0,339.0,
2020-09-19,8922.0,339.0,
2020-09-20,8980.0,339.0,
2020-09-21,9046.0,341.0,
2020-09-22,9195.0,341.0,
2020-09-23,9288.0,343.0,
2020-09-24,9379.0,343.0,
2020-09-25,9484.0,343.0,
2020-09-26,9577.0,343.0,
2020-09-27,9682.0,343.0,
2020-09-28,9743.0,345.0,
2020-09-29,9892.0,345.0,
2020-09-30,9992.0,344.0,
2020-10-01,10103.0,344.0,
2020-10-02,10244.0,345.0,
2020-10-03,10391.0,345.0,
2020-10-04,10538.0,345.0,
2020-10-05,10702.0,346.0,
2020-10-06,10929.0,346.0,
2020-10-07,11049.0,346.0,
2020-10-08,11345.0,346.0,
2020-10-09,11580.0,346.0,
2020-10-10,11849.0,346.0,
2020-10-11,11998.0,346.0,
2020-10-12,12212.0,346.0,
2020-10-13,12499.0,346.0,
2020-10-14,12703.0,350.0,
