dates,Sweden.JHU_ConfirmedCases.data,Sweden.JHU_ConfirmedDeaths.data,Sweden.JHU_ConfirmedRecoveries.data
2020-07-12,74898.0,5526.0,
2020-07-13,75826.0,5536.0,
2020-07-14,76001.0,5545.0,
2020-07-15,76492.0,5572.0,
2020-07-16,76877.0,5593.0,
2020-07-17,77281.0,5619.0,
2020-07-18,77281.0,5619.0,
2020-07-19,77281.0,5619.0,
2020-07-20,78048.0,5639.0,
2020-07-21,78166.0,5646.0,
2020-07-22,78504.0,5667.0,
2020-07-23,78763.0,5676.0,
2020-07-24,78997.0,5697.0,
2020-07-25,78997.0,5697.0,
2020-07-26,78997.0,5697.0,
2020-07-27,79395.0,5700.0,
2020-07-28,79494.0,5702.0,
2020-07-29,79782.0,5730.0,
2020-07-30,80100.0,5739.0,
2020-07-31,80422.0,5743.0,
2020-08-01,80422.0,5743.0,
2020-08-02,80422.0,5743.0,
2020-08-03,81012.0,5744.0,
2020-08-04,81181.0,5747.0,
2020-08-05,81540.0,5760.0,
2020-08-06,81967.0,5766.0,
2020-08-07,82323.0,5763.0,
2020-08-08,82323.0,5763.0,
2020-08-09,82323.0,5763.0,
2020-08-10,82972.0,5766.0,
2020-08-11,83126.0,5770.0,
2020-08-12,83455.0,5774.0,
2020-08-13,83852.0,5776.0,
2020-08-14,84294.0,5783.0,
2020-08-15,84294.0,5783.0,
2020-08-16,84294.0,5783.0,
2020-08-17,85045.0,5787.0,
2020-08-18,85219.0,5790.0,
2020-08-19,85411.0,5802.0,
2020-08-20,85810.0,5805.0,
2020-08-21,86068.0,5810.0,
2020-08-22,86068.0,5810.0,
2020-08-23,86068.0,5810.0,
2020-08-24,86721.0,5813.0,
2020-08-25,86891.0,5814.0,
2020-08-26,87072.0,5817.0,
2020-08-27,83898.0,5820.0,
2020-08-28,83958.0,5821.0,
2020-08-29,83958.0,5821.0,
2020-08-30,83958.0,5821.0,
2020-08-31,84379.0,5808.0,
2020-09-01,84521.0,5813.0,
2020-09-02,84532.0,5820.0,
2020-09-03,84729.0,5832.0,
2020-09-04,84985.0,5835.0,
2020-09-05,84985.0,5835.0,
2020-09-06,84985.0,5835.0,
2020-09-07,85558.0,5837.0,
2020-09-08,85707.0,5838.0,
2020-09-09,85880.0,5842.0,
2020-09-10,86194.0,5843.0,
2020-09-11,86505.0,5846.0,
2020-09-12,86505.0,5846.0,
2020-09-13,86505.0,5846.0,
2020-09-14,86505.0,5846.0,
2020-09-15,87345.0,5851.0,
2020-09-16,87575.0,5860.0,
2020-09-17,87885.0,5864.0,
2020-09-18,88237.0,5865.0,
2020-09-19,88237.0,5865.0,
2020-09-20,88237.0,5865.0,
2020-09-21,88237.0,5865.0,
2020-09-22,89436.0,5870.0,
2020-09-23,89756.0,5876.0,
2020-09-24,90289.0,5878.0,
2020-09-25,90923.0,5880.0,
2020-09-26,90923.0,5880.0,
2020-09-27,90923.0,5880.0,
2020-09-28,90923.0,5880.0,
2020-09-29,92466.0,5890.0,
2020-09-30,92863.0,5893.0,
2020-10-01,93615.0,5893.0,
2020-10-02,94283.0,5895.0,
2020-10-03,94283.0,5895.0,
2020-10-04,94283.0,5895.0,
2020-10-05,94283.0,5895.0,
2020-10-06,96145.0,5883.0,
2020-10-07,96677.0,5892.0,
2020-10-08,97532.0,5892.0,
2020-10-09,98451.0,5894.0,
2020-10-10,98451.0,5894.0,
2020-10-11,98451.0,5894.0,
2020-10-12,98451.0,5894.0,
2020-10-13,100654.0,5899.0,
2020-10-14,101332.0,5907.0,
