dates,Russia.JHU_ConfirmedCases.data,Russia.JHU_ConfirmedDeaths.data,Russia.JHU_ConfirmedRecoveries.data
2020-05-23,335882.0,3388.0,
2020-05-24,344481.0,3541.0,
2020-05-25,353427.0,3633.0,
2020-05-26,362342.0,3807.0,
2020-05-27,370680.0,3968.0,
2020-05-28,379051.0,4142.0,
2020-05-29,387623.0,4374.0,
2020-05-30,396575.0,4555.0,
2020-05-31,405843.0,4693.0,
2020-06-01,414328.0,4849.0,
2020-06-02,423186.0,5031.0,
2020-06-03,431715.0,5208.0,
2020-06-04,440538.0,5376.0,
2020-06-05,449256.0,5520.0,
2020-06-06,458102.0,5717.0,
2020-06-07,467073.0,5851.0,
2020-06-08,476043.0,5963.0,
2020-06-09,484630.0,6134.0,
2020-06-10,493023.0,6350.0,
2020-06-11,501800.0,6522.0,
2020-06-12,510761.0,6705.0,
2020-06-13,519458.0,6819.0,
2020-06-14,528267.0,6938.0,
2020-06-15,536484.0,7081.0,
2020-06-16,544725.0,7274.0,
2020-06-17,552549.0,7468.0,
2020-06-18,560321.0,7650.0,
2020-06-19,568292.0,7831.0,
2020-06-20,576162.0,7992.0,
2020-06-21,583879.0,8101.0,
2020-06-22,591465.0,8196.0,
2020-06-23,598878.0,8349.0,
2020-06-24,606043.0,8503.0,
2020-06-25,613148.0,8594.0,
2020-06-26,619936.0,8770.0,
2020-06-27,626779.0,8958.0,
2020-06-28,633563.0,9060.0,
2020-06-29,647338.0,9166.0,
2020-06-30,655608.0,9358.0,
2020-07-01,661290.0,9515.0,
2020-07-02,660231.0,9668.0,
2020-07-03,666941.0,9844.0,
2020-07-04,673564.0,10011.0,
2020-07-05,680283.0,10145.0,
2020-07-06,686852.0,10280.0,
2020-07-07,693215.0,10478.0,
2020-07-08,699749.0,10650.0,
2020-07-09,706240.0,10826.0,
2020-07-10,712863.0,11000.0,
2020-07-11,719449.0,11188.0,
2020-07-12,726036.0,11318.0,
2020-07-13,732547.0,11422.0,
2020-07-14,738787.0,11597.0,
2020-07-15,745197.0,11753.0,
2020-07-16,751612.0,11920.0,
2020-07-17,758001.0,12106.0,
2020-07-18,764215.0,12228.0,
2020-07-19,770311.0,12323.0,
2020-07-20,776212.0,12408.0,
2020-07-21,782040.0,12561.0,
2020-07-22,787890.0,12726.0,
2020-07-23,793720.0,12873.0,
2020-07-24,799499.0,13026.0,
2020-07-25,805332.0,13172.0,
2020-07-26,811073.0,13249.0,
2020-07-27,816680.0,13334.0,
2020-07-28,822060.0,13483.0,
2020-07-29,827509.0,13650.0,
2020-07-30,832993.0,13778.0,
2020-07-31,838461.0,13939.0,
2020-08-01,843890.0,14034.0,
2020-08-02,849277.0,14104.0,
2020-08-03,854641.0,14183.0,
2020-08-04,859762.0,14327.0,
2020-08-05,864948.0,14465.0,
2020-08-06,870187.0,14579.0,
2020-08-07,875378.0,14698.0,
2020-08-08,880563.0,14827.0,
2020-08-09,885718.0,14903.0,
2020-08-10,890799.0,14973.0,
2020-08-11,895691.0,15103.0,
2020-08-12,900745.0,15231.0,
2020-08-13,905762.0,15353.0,
2020-08-14,910778.0,15467.0,
2020-08-15,915808.0,15585.0,
2020-08-16,920719.0,15653.0,
2020-08-17,925558.0,15707.0,
2020-08-18,930276.0,15836.0,
2020-08-19,935066.0,15951.0,
2020-08-20,939833.0,16058.0,
2020-08-21,944671.0,16148.0,
2020-08-22,949531.0,16268.0,
2020-08-23,954328.0,16341.0,
2020-08-24,959016.0,16406.0,
2020-08-25,963655.0,16524.0,
2020-08-26,968297.0,16638.0,
2020-08-27,972972.0,16758.0,
2020-08-28,977730.0,16866.0,
2020-08-29,982573.0,16977.0,
2020-08-30,987470.0,17045.0,
2020-08-31,992402.0,17128.0,
2020-09-01,997072.0,17250.0,
2020-09-02,1001965.0,17365.0,
2020-09-03,1006923.0,17479.0,
2020-09-04,1011987.0,17598.0,
2020-09-05,1017131.0,17707.0,
2020-09-06,1022228.0,17768.0,
2020-09-07,1027334.0,17818.0,
2020-09-08,1032354.0,17939.0,
2020-09-09,1037526.0,18080.0,
2020-09-10,1042836.0,18207.0,
2020-09-11,1048257.0,18309.0,
2020-09-12,1053663.0,18426.0,
2020-09-13,1059024.0,18517.0,
2020-09-14,1064438.0,18573.0,
2020-09-15,1069873.0,18723.0,
2020-09-16,1075485.0,18853.0,
2020-09-17,1081152.0,18996.0,
2020-09-18,1086955.0,19128.0,
2020-09-19,1092915.0,19270.0,
2020-09-20,1098958.0,19349.0,
2020-09-21,1105048.0,19420.0,
2020-09-22,1111157.0,19575.0,
2020-09-23,1117487.0,19720.0,
2020-09-24,1123976.0,19867.0,
2020-09-25,1131088.0,19973.0,
2020-09-26,1138509.0,20140.0,
2020-09-27,1146273.0,20239.0,
2020-09-28,1154299.0,20299.0,
2020-09-29,1162428.0,20456.0,
2020-09-30,1170799.0,20630.0,
2020-10-01,1179634.0,20796.0,
2020-10-02,1188928.0,20981.0,
2020-10-03,1198663.0,21153.0,
2020-10-04,1209039.0,21260.0,
2020-10-05,1219796.0,21375.0,
2020-10-06,1231277.0,21559.0,
2020-10-07,1242258.0,21755.0,
2020-10-08,1253603.0,21939.0,
2020-10-09,1265572.0,22137.0,
2020-10-10,1278245.0,22331.0,
2020-10-11,1291687.0,22471.0,
2020-10-12,1305093.0,22594.0,
2020-10-13,1318783.0,22834.0,
2020-10-14,1332824.0,23069.0,
